week_start,equipment_id,equipment_type,age_years,downtime_pct_8w,breakdowns_8w,c_downtime,c_breakdown,c_age,risk_score,risk_band,main_driver
2023-01-02,DMP-01,dumper,3,6.3571,0.0,0.1269,0.0,0.08,0.2069,low,recent downtime
2023-01-02,DMP-02,dumper,8,8.4286,0.0,0.1683,0.0,0.2133,0.3816,low,machine age
2023-01-02,DMP-03,dumper,12,8.7143,0.0,0.174,0.0,0.32,0.494,low,machine age
2023-01-02,DRL-01,drill,6,11.8571,0.0,0.2368,0.0,0.16,0.3968,low,recent downtime
2023-01-02,DRL-02,drill,11,15.7857,0.0,0.3152,0.0,0.2933,0.6085,medium,recent downtime
2023-01-02,LDR-01,loader,4,15.6429,0.0,0.3124,0.0,0.1067,0.419,low,recent downtime
2023-01-02,LDR-02,loader,9,17.3571,0.0,0.3466,0.0,0.24,0.5866,low,recent downtime
2023-01-02,LDR-03,loader,13,18.2857,0.0,0.3651,0.0,0.3467,0.7118,medium,recent downtime
2023-01-09,DMP-01,dumper,3,6.4643,0.0,0.1291,0.0,0.08,0.2091,low,recent downtime
2023-01-09,DMP-02,dumper,8,9.4643,0.0,0.189,0.0,0.2133,0.4023,low,machine age
2023-01-09,DMP-03,dumper,12,9.0714,0.0,0.1811,0.0,0.32,0.5011,low,machine age
2023-01-09,DRL-01,drill,6,13.1786,0.0,0.2631,0.0,0.16,0.4231,low,recent downtime
2023-01-09,DRL-02,drill,11,18.25,0.0,0.3644,0.0,0.2933,0.6577,medium,recent downtime
2023-01-09,LDR-01,loader,4,29.8571,1.0,0.4,0.1,0.1067,0.6067,medium,recent downtime
2023-01-09,LDR-02,loader,9,14.6786,0.0,0.2931,0.0,0.24,0.5331,low,recent downtime
2023-01-09,LDR-03,loader,13,14.25,0.0,0.2845,0.0,0.3467,0.6312,medium,machine age
2023-01-16,DMP-01,dumper,3,9.4524,0.0,0.1887,0.0,0.08,0.2687,low,recent downtime
2023-01-16,DMP-02,dumper,8,9.2381,0.0,0.1845,0.0,0.2133,0.3978,low,machine age
2023-01-16,DMP-03,dumper,12,9.0,0.0,0.1797,0.0,0.32,0.4997,low,machine age
2023-01-16,DRL-01,drill,6,12.3095,0.0,0.2458,0.0,0.16,0.4058,low,recent downtime
2023-01-16,DRL-02,drill,11,17.6667,0.0,0.3528,0.0,0.2933,0.6461,medium,recent downtime
2023-01-16,LDR-01,loader,4,22.381,1.0,0.4,0.1,0.1067,0.6067,medium,recent downtime
2023-01-16,LDR-02,loader,9,12.381,0.0,0.2472,0.0,0.24,0.4872,low,recent downtime
2023-01-16,LDR-03,loader,13,11.1667,0.0,0.223,0.0,0.3467,0.5696,low,machine age
2023-01-23,DMP-01,dumper,3,7.4464,0.0,0.1487,0.0,0.08,0.2287,low,recent downtime
2023-01-23,DMP-02,dumper,8,10.5179,0.0,0.21,0.0,0.2133,0.4234,low,machine age
2023-01-23,DMP-03,dumper,12,10.9286,0.0,0.2182,0.0,0.32,0.5382,low,machine age
2023-01-23,DRL-01,drill,6,11.6607,0.0,0.2328,0.0,0.16,0.3928,low,recent downtime
2023-01-23,DRL-02,drill,11,16.625,0.0,0.332,0.0,0.2933,0.6253,medium,recent downtime
2023-01-23,LDR-01,loader,4,18.4643,1.0,0.3687,0.1,0.1067,0.5754,low,recent downtime
2023-01-23,LDR-02,loader,9,23.5893,1.0,0.4,0.1,0.24,0.74,medium,recent downtime
2023-01-23,LDR-03,loader,13,10.3036,0.0,0.2057,0.0,0.3467,0.5524,low,machine age
2023-01-30,DMP-01,dumper,3,10.2286,0.0,0.2042,0.0,0.08,0.2842,low,recent downtime
2023-01-30,DMP-02,dumper,8,9.6571,0.0,0.1928,0.0,0.2133,0.4062,low,machine age
2023-01-30,DMP-03,dumper,12,10.2857,0.0,0.2054,0.0,0.32,0.5254,low,machine age
2023-01-30,DRL-01,drill,6,12.3286,0.0,0.2462,0.0,0.16,0.4062,low,recent downtime
2023-01-30,DRL-02,drill,11,15.6857,0.0,0.3132,0.0,0.2933,0.6065,medium,recent downtime
2023-01-30,LDR-01,loader,4,15.7429,1.0,0.3144,0.1,0.1067,0.521,low,recent downtime
2023-01-30,LDR-02,loader,9,21.0857,1.0,0.4,0.1,0.24,0.74,medium,recent downtime
2023-01-30,LDR-03,loader,13,10.5,0.0,0.2097,0.0,0.3467,0.5563,low,machine age
2023-02-06,DMP-01,dumper,3,9.2381,0.0,0.1845,0.0,0.08,0.2645,low,recent downtime
2023-02-06,DMP-02,dumper,8,11.2619,0.0,0.2249,0.0,0.2133,0.4382,low,recent downtime
2023-02-06,DMP-03,dumper,12,11.2024,0.0,0.2237,0.0,0.32,0.5437,low,machine age
2023-02-06,DRL-01,drill,6,11.9881,0.0,0.2394,0.0,0.16,0.3994,low,recent downtime
2023-02-06,DRL-02,drill,11,14.0,0.0,0.2796,0.0,0.2933,0.5729,low,machine age
2023-02-06,LDR-01,loader,4,14.6786,1.0,0.2931,0.1,0.1067,0.4998,low,recent downtime
2023-02-06,LDR-02,loader,9,20.1667,1.0,0.4,0.1,0.24,0.74,medium,recent downtime
2023-02-06,LDR-03,loader,13,10.0595,0.0,0.2009,0.0,0.3467,0.5475,low,machine age
2023-02-13,DMP-01,dumper,3,8.551,0.0,0.1707,0.0,0.08,0.2507,low,recent downtime
2023-02-13,DMP-02,dumper,8,10.4286,0.0,0.2082,0.0,0.2133,0.4216,low,machine age
2023-02-13,DMP-03,dumper,12,10.4694,0.0,0.2091,0.0,0.32,0.5291,low,machine age
2023-02-13,DRL-01,drill,6,12.051,0.0,0.2406,0.0,0.16,0.4006,low,recent downtime
2023-02-13,DRL-02,drill,11,15.5714,0.0,0.3109,0.0,0.2933,0.6043,medium,recent downtime
2023-02-13,LDR-01,loader,4,13.3265,1.0,0.2661,0.1,0.1067,0.4728,low,recent downtime
2023-02-13,LDR-02,loader,9,17.551,1.0,0.3505,0.1,0.24,0.6905,medium,recent downtime
2023-02-13,LDR-03,loader,13,9.3571,0.0,0.1868,0.0,0.3467,0.5335,low,machine age
2023-02-20,DMP-01,dumper,3,8.1786,0.0,0.1633,0.0,0.08,0.2433,low,recent downtime
2023-02-20,DMP-02,dumper,8,11.2232,0.0,0.2241,0.0,0.2133,0.4374,low,recent downtime
2023-02-20,DMP-03,dumper,12,11.3839,0.0,0.2273,0.0,0.32,0.5473,low,machine age
2023-02-20,DRL-01,drill,6,12.0268,0.0,0.2401,0.0,0.16,0.4001,low,recent downtime
2023-02-20,DRL-02,drill,11,15.2411,0.0,0.3043,0.0,0.2933,0.5977,low,recent downtime
2023-02-20,LDR-01,loader,4,12.4464,1.0,0.2485,0.1,0.1067,0.4552,low,recent downtime
2023-02-20,LDR-02,loader,9,15.625,1.0,0.312,0.1,0.24,0.652,medium,recent downtime
2023-02-20,LDR-03,loader,13,9.5536,0.0,0.1908,0.0,0.3467,0.5374,low,machine age
2023-02-27,DMP-01,dumper,3,7.6518,0.0,0.1528,0.0,0.08,0.2328,low,recent downtime
2023-02-27,DMP-02,dumper,8,10.7232,0.0,0.2141,0.0,0.2133,0.4275,low,recent downtime
2023-02-27,DMP-03,dumper,12,10.8214,0.0,0.2161,0.0,0.32,0.5361,low,machine age
2023-02-27,DRL-01,drill,6,17.7321,1.0,0.3541,0.1,0.16,0.6141,medium,recent downtime
2023-02-27,DRL-02,drill,11,14.7054,0.0,0.2936,0.0,0.2933,0.587,low,recent downtime
2023-02-27,LDR-01,loader,4,11.1696,1.0,0.223,0.1,0.1067,0.4297,low,recent downtime
2023-02-27,LDR-02,loader,9,14.6786,1.0,0.2931,0.1,0.24,0.6331,medium,recent downtime
2023-02-27,LDR-03,loader,13,9.5089,0.0,0.1899,0.0,0.3467,0.5365,low,machine age
2023-03-06,DMP-01,dumper,3,7.6607,0.0,0.153,0.0,0.08,0.233,low,recent downtime
2023-03-06,DMP-02,dumper,8,10.7143,0.0,0.2139,0.0,0.2133,0.4273,low,recent downtime
2023-03-06,DMP-03,dumper,12,10.2857,0.0,0.2054,0.0,0.32,0.5254,low,machine age
2023-03-06,DRL-01,drill,6,17.0268,1.0,0.34,0.1,0.16,0.6,low,recent downtime
2023-03-06,DRL-02,drill,11,12.8661,0.0,0.2569,0.0,0.2933,0.5502,low,machine age
2023-03-06,LDR-01,loader,4,7.0446,0.0,0.1407,0.0,0.1067,0.2473,low,recent downtime
2023-03-06,LDR-02,loader,9,13.8482,1.0,0.2765,0.1,0.24,0.6165,medium,recent downtime
2023-03-06,LDR-03,loader,13,10.1875,0.0,0.2034,0.0,0.3467,0.5501,low,machine age
2023-03-13,DMP-01,dumper,3,6.9196,0.0,0.1382,0.0,0.08,0.2182,low,recent downtime
2023-03-13,DMP-02,dumper,8,10.6429,0.0,0.2125,0.0,0.2133,0.4258,low,machine age
2023-03-13,DMP-03,dumper,12,11.5536,0.0,0.2307,0.0,0.32,0.5507,low,machine age
2023-03-13,DRL-01,drill,6,18.0268,1.0,0.36,0.1,0.16,0.62,medium,recent downtime
2023-03-13,DRL-02,drill,11,12.4286,0.0,0.2482,0.0,0.2933,0.5415,low,machine age
2023-03-13,LDR-01,loader,4,7.1339,0.0,0.1424,0.0,0.1067,0.2491,low,recent downtime
2023-03-13,LDR-02,loader,9,14.3214,1.0,0.286,0.1,0.24,0.626,medium,recent downtime
2023-03-13,LDR-03,loader,13,12.5357,0.0,0.2503,0.0,0.3467,0.597,low,machine age
2023-03-20,DMP-01,dumper,3,11.7321,1.0,0.2343,0.1,0.08,0.4143,low,recent downtime
2023-03-20,DMP-02,dumper,8,10.3839,0.0,0.2073,0.0,0.2133,0.4207,low,machine age
2023-03-20,DMP-03,dumper,12,9.9554,0.0,0.1988,0.0,0.32,0.5188,low,machine age
2023-03-20,DRL-01,drill,6,17.8393,1.0,0.3562,0.1,0.16,0.6162,medium,recent downtime
2023-03-20,DRL-02,drill,11,12.2143,0.0,0.2439,0.0,0.2933,0.5372,low,machine age
2023-03-20,LDR-01,loader,4,7.3929,0.0,0.1476,0.0,0.1067,0.2543,low,recent downtime
2023-03-20,LDR-02,loader,9,8.0982,0.0,0.1617,0.0,0.24,0.4017,low,machine age
