week_start,equipment_id,equipment_type,age_years,scheduled_hours,downtime_hours,breakdown_events
2023-01-02,DRL-01,drill,6,140,16.6,0
2023-01-09,DRL-01,drill,6,140,20.3,0
2023-01-16,DRL-01,drill,6,140,14.8,0
2023-01-23,DRL-01,drill,6,140,13.6,0
2023-01-30,DRL-01,drill,6,140,21.0,0
2023-02-06,DRL-01,drill,6,140,14.4,0
2023-02-13,DRL-01,drill,6,140,17.4,0
2023-02-20,DRL-01,drill,6,140,16.6,0
2023-02-27,DRL-01,drill,6,140,80.5,1
2023-03-06,DRL-01,drill,6,140,12.4,0
2023-03-13,DRL-01,drill,6,140,26.0,0
2023-03-20,DRL-01,drill,6,140,11.5,0
2023-03-27,DRL-01,drill,6,140,17.8,0
2023-04-03,DRL-01,drill,6,140,17.8,0
2023-04-10,DRL-01,drill,6,140,10.6,0
2023-04-17,DRL-01,drill,6,140,18.5,0
2023-04-24,DRL-01,drill,6,140,13.5,0
2023-05-01,DRL-01,drill,6,140,9.5,0
2023-05-08,DRL-01,drill,6,140,19.7,0
2023-05-15,DRL-01,drill,6,140,7.2,0
2023-05-22,DRL-01,drill,6,140,9.8,0
2023-05-29,DRL-01,drill,6,140,16.2,0
2023-06-05,DRL-01,drill,6,140,21.6,0
2023-06-12,DRL-01,drill,6,140,19.1,0
2023-06-19,DRL-01,drill,6,140,19.1,0
2023-06-26,DRL-01,drill,6,140,19.1,0
2023-07-03,DRL-01,drill,6,140,29.5,0
2023-07-10,DRL-01,drill,6,140,20.8,0
2023-07-17,DRL-01,drill,6,140,23.4,0
2023-07-24,DRL-01,drill,6,140,12.8,0
2023-07-31,DRL-01,drill,6,140,32.5,0
2023-08-07,DRL-01,drill,6,140,24.2,0
2023-08-14,DRL-01,drill,6,140,18.8,0
2023-08-21,DRL-01,drill,6,140,27.7,0
2023-08-28,DRL-01,drill,6,140,9.1,0
2023-09-04,DRL-01,drill,6,140,14.6,0
2023-09-11,DRL-01,drill,6,140,28.8,0
2023-09-18,DRL-01,drill,6,140,27.8,0
2023-09-25,DRL-01,drill,6,140,27.5,0
2023-10-02,DRL-01,drill,6,140,20.4,0
2023-10-09,DRL-01,drill,6,140,11.7,0
2023-10-16,DRL-01,drill,6,140,6.8,0
