week_start,rainfall_mm,planned_tonnes,actual_tonnes,shortfall_pct,shortfall_flag,fleet_downtime_pct,blast_delay_days
2023-01-02,5.0649,21081.0,21453.0,-1.76,0,12.8,0
2023-01-09,6.6599,21081.0,21040.0,0.19,0,16.0,0
2023-01-16,0.7913,21081.0,23389.0,-10.95,0,10.04,1
2023-01-23,0.0,21081.0,19995.0,5.15,0,15.92,1
2023-01-30,1.6565,21081.0,20843.0,1.13,0,11.18,1
2023-02-06,3.2855,21081.0,23117.0,-9.66,0,11.0,1
2023-02-13,0.2916,21081.0,22976.0,-8.99,0,8.2,0
2023-02-20,2.1364,21081.0,24288.0,-15.22,0,10.54,0
2023-02-27,0.0,21081.0,21285.0,-0.97,0,14.12,0
2023-03-06,0.0,21081.0,22523.0,-6.84,0,8.64,0
2023-03-13,22.9062,21081.0,20603.0,2.27,0,13.97,1
2023-03-20,0.1929,21081.0,21827.0,-3.54,0,13.95,0
2023-03-27,0.0,21081.0,19273.0,8.58,0,19.59,0
2023-04-03,12.413,21081.0,22364.0,-6.09,0,13.62,0
2023-04-10,0.0114,21081.0,22526.0,-6.86,0,10.96,0
2023-04-17,0.0,21081.0,22358.0,-6.06,0,6.7,0
2023-04-24,19.3623,21081.0,22062.0,-4.66,0,7.89,0
2023-05-01,0.2156,21081.0,20846.0,1.11,0,11.39,1
2023-05-08,1.2136,21081.0,22549.0,-6.96,0,12.83,0
2023-05-15,2.6189,21081.0,21384.0,-1.44,0,9.68,0
2023-05-22,7.3245,21081.0,22301.0,-5.79,0,8.91,1
2023-05-29,14.2122,21081.0,24348.0,-15.5,0,9.43,0
2023-06-05,0.0,21081.0,23749.0,-12.66,0,10.17,0
2023-06-12,0.0,21081.0,18934.0,10.18,1,22.83,0
2023-06-19,42.6475,21081.0,21437.0,-1.69,0,12.83,0
2023-06-26,144.9868,21081.0,16281.0,22.77,1,15.82,2
2023-07-03,121.5907,21081.0,14804.0,29.77,1,21.62,1
2023-07-10,119.2291,21081.0,14823.0,29.69,1,17.52,1
2023-07-17,150.3398,21081.0,15435.0,26.78,1,17.63,1
2023-07-24,122.587,21081.0,14112.0,33.06,1,20.84,3
2023-07-31,181.4004,21081.0,14107.0,33.08,1,25.68,3
2023-08-07,0.0,21081.0,17087.0,18.94,1,19.58,1
2023-08-14,116.7805,21081.0,19421.0,7.87,0,12.0,1
2023-08-21,30.6682,21081.0,17687.0,16.1,1,16.47,0
2023-08-28,25.232,21081.0,20190.0,4.22,0,11.47,2
2023-09-04,88.8736,21081.0,19391.0,8.01,0,12.59,1
2023-09-11,126.5055,21081.0,15942.0,24.38,1,22.52,1
2023-09-18,133.4124,21081.0,13270.0,37.05,1,17.72,5
2023-09-25,60.449,21081.0,16331.0,22.53,1,17.62,2
2023-10-02,8.6476,21081.0,20859.0,1.05,0,12.04,0
2023-10-09,0.0,21081.0,21451.0,-1.76,0,14.47,0
2023-10-16,0.1091,21081.0,21975.0,-4.24,0,13.42,1
2023-10-23,0.0,21081.0,20335.0,3.54,0,19.58,0
2023-10-30,0.1221,21081.0,19975.0,5.25,0,22.46,0
2023-11-06,0.0,21081.0,20734.0,1.65,0,14.0,0
2023-11-13,0.0,21081.0,21695.0,-2.91,0,10.8,0
2023-11-20,0.1667,21081.0,24042.0,-14.05,0,7.22,0
2023-11-27,16.019,21081.0,21913.0,-3.95,0,8.78,1
2023-12-04,17.9786,21081.0,20774.0,1.46,0,14.38,0
2023-12-11,0.0,21081.0,20926.0,0.73,0,16.79,0
2023-12-18,0.0,21081.0,20597.0,2.29,0,12.53,0
2023-12-25,0.0,21081.0,21519.0,-2.08,0,9.29,0
2024-01-01,11.1511,21081.0,22390.0,-6.21,0,13.69,1
2024-01-08,0.0,21081.0,21725.0,-3.06,0,8.49,1
2024-01-15,0.0,21081.0,24170.0,-14.65,0,7.27,0
2024-01-22,1.5198,21081.0,22324.0,-5.9,0,9.93,0
2024-01-29,1.8401,21081.0,22350.0,-6.02,0,10.15,0
2024-02-05,0.4986,21081.0,21864.0,-3.72,0,13.08,1
2024-02-12,7.6038,21081.0,19479.0,7.6,0,14.09,0
2024-02-19,0.0,21081.0,22594.0,-7.18,0,9.73,0
2024-02-26,11.0121,21081.0,21105.0,-0.12,0,14.02,1
2024-03-04,0.0,21081.0,22949.0,-8.86,0,14.37,0
2024-03-11,19.7164,21081.0,23291.0,-10.48,0,9.04,0
2024-03-18,13.9637,21081.0,20342.0,3.5,0,13.22,1
2024-03-25,0.7888,21081.0,22976.0,-8.99,0,13.05,0
2024-04-01,0.5416,21081.0,21621.0,-2.56,0,8.75,1
2024-04-08,30.943,21081.0,21389.0,-1.46,0,11.29,0
2024-04-15,5.7509,21081.0,22587.0,-7.14,0,9.04,0
2024-04-22,0.6287,21081.0,21603.0,-2.48,0,13.52,0
2024-04-29,0.0,21081.0,23832.0,-13.05,0,9.59,0
2024-05-06,0.0,21081.0,22717.0,-7.76,0,8.39,0
2024-05-13,2.5471,21081.0,22322.0,-5.89,0,11.51,0
2024-05-20,12.0335,21081.0,21924.0,-4.0,0,14.01,1
2024-05-27,0.0,21081.0,23411.0,-11.05,0,9.7,0
2024-06-03,9.0238,21081.0,22545.0,-6.94,0,7.18,1
2024-06-10,18.2783,21081.0,23719.0,-12.51,0,8.97,0
2024-06-17,67.3764,21081.0,20836.0,1.16,0,13.09,0
2024-06-24,69.3357,21081.0,18292.0,13.23,1,14.99,1
2024-07-01,66.0388,21081.0,17974.0,14.74,1,19.48,2
2024-07-08,50.8814,21081.0,17896.0,15.11,1,20.81,1
2024-07-15,121.8654,21081.0,15994.0,24.13,1,24.78,0
2024-07-22,163.9399,21081.0,13999.0,33.6,1,24.21,4
2024-07-29,160.5702,21081.0,13907.0,34.03,1,31.04,1
2024-08-05,98.9151,21081.0,14938.0,29.14,1,16.22,3
2024-08-12,64.5885,21081.0,16741.0,20.59,1,16.03,2
2024-08-19,120.0591,21081.0,17155.0,18.62,1,22.16,0
2024-08-26,46.0138,21081.0,18058.0,14.34,1,19.94,0
2024-09-02,89.3129,21081.0,18142.0,13.94,1,15.42,1
2024-09-09,94.4515,21081.0,16927.0,19.71,1,16.99,0
2024-09-16,20.9323,21081.0,19951.0,5.36,0,15.81,0
2024-09-23,66.0715,21081.0,19847.0,5.85,0,15.79,0
2024-09-30,5.7762,21081.0,21321.0,-1.14,0,12.87,0
2024-10-07,16.0022,21081.0,21638.0,-2.64,0,11.85,1
2024-10-14,3.2579,21081.0,22649.0,-7.44,0,9.36,0
2024-10-21,1.0698,21081.0,21091.0,-0.05,0,15.57,0
2024-10-28,0.0,21081.0,23234.0,-10.22,0,9.49,0
2024-11-04,0.3415,21081.0,23595.0,-11.93,0,9.7,0
2024-11-11,0.1517,21081.0,23061.0,-9.39,0,11.26,0
2024-11-18,0.427,21081.0,21438.0,-1.69,0,14.09,0
2024-11-25,3.1152,21081.0,21489.0,-1.93,0,15.72,1
2024-12-02,1.2607,21081.0,22479.0,-6.63,0,9.66,0
2024-12-09,0.0,21081.0,21094.0,-0.06,0,11.38,0
2024-12-16,8.2279,21081.0,23021.0,-9.2,0,8.04,0
2024-12-23,3.5253,21081.0,22431.0,-6.41,0,10.61,0
2024-12-30,0.0,21081.0,24246.0,-15.02,0,13.08,0
2025-01-06,9.1661,21081.0,23754.0,-12.68,0,9.67,0
2025-01-13,2.0839,21081.0,22794.0,-8.13,0,11.42,0
2025-01-20,0.4602,21081.0,22330.0,-5.93,0,11.68,0
2025-01-27,0.0,21081.0,21756.0,-3.2,0,14.44,0
2025-02-03,4.8102,21081.0,21432.0,-1.67,0,10.55,0
