week_start,rainfall_mm,ndvi,sar_vv_db,lst_c
2023-01-02,5.0649,0.4333,-9.5605,25.1382
2023-01-09,6.6599,0.4372,-10.3302,25.1382
2023-01-16,0.7913,0.2921,-10.6128,26.7877
2023-01-23,0.0,0.4161,-9.6261,27.185
2023-01-30,1.6565,0.4688,-11.1763,27.55
2023-02-06,3.2855,0.4138,-10.0846,28.1773
2023-02-13,0.2916,0.3897,-11.1702,31.6076
2023-02-20,2.1364,0.404,-10.2069,31.4591
2023-02-27,0.0,0.3677,-10.5614,32.4559
2023-03-06,0.0,0.3747,-10.8294,33.4528
2023-03-13,22.9062,0.2309,-9.8474,30.8844
2023-03-20,0.1929,0.3523,-10.394,33.3951
2023-03-27,0.0,0.3237,-9.6619,34.6084
2023-04-03,12.413,0.3643,-10.2299,35.9709
2023-04-10,0.0114,0.4083,-11.2459,38.9562
2023-04-17,0.0,0.3506,-9.9457,32.8748
2023-04-24,19.3623,0.3704,-9.9349,33.9245
2023-05-01,0.2156,0.3969,-8.1709,34.9742
2023-05-08,1.2136,0.4233,-10.6702,38.1649
2023-05-15,2.6189,0.3558,-9.8402,40.0002
2023-05-22,7.3245,0.3229,-10.2301,41.0881
2023-05-29,14.2122,0.2907,-10.9915,42.1615
2023-06-05,0.0,0.2841,-9.8801,41.4176
2023-06-12,0.0,0.272,-10.6078,39.5052
2023-06-19,42.6475,0.2953,-9.9459,37.7804
2023-06-26,144.9868,0.3186,-7.5781,36.0556
2023-07-03,121.5907,0.3419,-8.4469,34.3308
2023-07-10,119.2291,,-7.1641,32.606
2023-07-17,150.3398,0.3885,-8.8004,30.8812
2023-07-24,122.587,0.4119,-7.9993,29.8595
2023-07-31,181.4004,0.4352,-8.3587,28.8379
2023-08-07,0.0,0.4585,-8.0578,28.8167
2023-08-14,116.7805,0.5207,-7.9803,27.8581
2023-08-21,30.6682,0.583,-8.3858,26.8994
2023-08-28,25.232,0.6452,-7.9948,28.5235
2023-09-04,88.8736,0.6597,-8.3713,26.6421
2023-09-11,126.5055,0.6741,-7.6691,24.7606
2023-09-18,133.4124,0.6886,-8.5572,28.8623
2023-09-25,60.449,0.7031,-9.5076,27.7521
2023-10-02,8.6476,0.7204,-8.6592,29.7907
2023-10-09,0.0,0.6824,-9.8549,29.1166
2023-10-16,0.1091,0.649,-9.1098,28.4425
2023-10-23,0.0,0.5855,-10.2336,28.1323
2023-10-30,0.1221,0.5255,-9.2605,28.8967
2023-11-06,0.0,0.4554,-9.9225,28.1436
2023-11-13,0.0,0.4228,-10.5177,28.3054
2023-11-20,0.1667,0.3847,-9.4901,26.924
2023-11-27,16.019,0.3603,-9.6719,24.617
2023-12-04,17.9786,0.4611,-8.3703,24.1492
2023-12-11,0.0,0.4488,-9.3575,23.6814
2023-12-18,0.0,0.4452,-9.3333,23.2683
2023-12-25,0.0,0.3881,-9.3091,23.9118
2024-01-01,11.1511,0.4119,-9.3899,24.7137
2024-01-08,0.0,0.4522,-9.4708,25.9428
2024-01-15,0.0,0.4577,-10.5667,21.4991
2024-01-22,1.5198,0.4632,-9.4172,22.2703
2024-01-29,1.8401,0.4687,-10.2612,26.5275
2024-02-05,0.4986,0.4589,-11.0691,27.1505
2024-02-12,7.6038,0.4514,-9.7073,28.2215
2024-02-19,0.0,0.4219,-10.7687,29.3406
2024-02-26,11.0121,0.317,-10.5855,30.4597
