elevation_m,lat,lon,lst_mean_c,ndvi_median,ndvi_std,rain_mm_per_year,sar_vh_mean_db,sar_vv_mean_db,slope_deg,zone_id,dist_to_mine_km
286.3795,21.655,80.055,30.7716,0.3898,0.1262,1472.758,-16.9606,-9.9344,1.0372,r00_c00,21.317
286.2716,21.655,80.065,30.7686,0.3945,0.1255,1472.758,-16.9689,-9.7476,1.0891,r00_c01,20.656
286.5996,21.655,80.075,30.7709,0.3895,0.1266,1472.7582,-16.8475,-9.8331,1.1353,r00_c02,20.027
292.5243,21.655,80.085,30.7273,0.3977,0.134,1472.7583,-16.916,-9.7827,1.1873,r00_c03,19.432
299.1515,21.655,80.095,30.7123,0.3704,0.1288,1472.758,-16.9771,-9.5769,1.1511,r00_c04,18.875
294.4189,21.655,80.105,30.7798,0.3735,0.1226,1495.8411,-17.1813,-10.0665,1.3887,r00_c05,18.359
291.2191,21.655,80.115,30.8766,0.3712,0.1167,1496.0214,-17.1329,-10.0238,1.4071,r00_c06,17.888
296.5204,21.655,80.125,30.8583,0.3889,0.1232,1496.0215,-16.8563,-9.8146,1.3137,r00_c07,17.465
295.4282,21.655,80.135,30.901,0.3888,0.1213,1496.0215,-16.9865,-9.8136,1.517,r00_c08,17.095
297.561,21.655,80.145,31.0106,0.3696,0.1172,1496.0215,-16.9908,-9.812,1.3707,r00_c09,16.78
291.0735,21.655,80.155,31.18,0.3423,0.0859,1509.9979,-18.0192,-10.6839,1.7551,r00_c10,16.524
290.9569,21.655,80.165,31.1725,0.3453,0.1205,1510.5558,-17.7079,-10.2557,1.7077,r00_c11,16.329
291.9433,21.655,80.175,30.9714,0.3804,0.1294,1510.5555,-17.0779,-9.6256,1.2448,r00_c12,16.198
285.129,21.655,80.185,30.9597,0.3386,0.1051,1510.5555,-18.6401,-10.815,1.7845,r00_c13,16.132
283.8799,21.655,80.195,30.9499,0.349,0.1267,1510.9869,-18.4745,-10.689,2.0896,r00_c14,16.132
290.8114,21.655,80.205,30.7354,0.4015,0.1374,1531.3432,-16.9374,-9.6566,1.2122,r00_c15,16.198
289.4922,21.655,80.215,30.6039,0.4317,0.1258,1531.3435,-16.5297,-9.5006,1.3405,r00_c16,16.329
287.9148,21.655,80.225,30.5783,0.4131,0.1218,1531.3442,-16.2987,-9.3613,1.525,r00_c17,16.524
