date,actual,target
2023-01-02,21453.0,21081.0
2023-01-09,21040.0,21081.0
2023-01-16,23389.0,21081.0
2023-01-23,19995.0,21081.0
2023-01-30,20843.0,21081.0
2023-02-06,23117.0,21081.0
2023-02-13,22976.0,21081.0
2023-02-20,24288.0,21081.0
2023-02-27,21285.0,21081.0
2023-03-06,22523.0,21081.0
2023-03-13,20603.0,21081.0
2023-03-20,21827.0,21081.0
2023-03-27,19273.0,21081.0
2023-04-03,22364.0,21081.0
2023-04-10,22526.0,21081.0
2023-04-17,22358.0,21081.0
2023-04-24,22062.0,21081.0
2023-05-01,20846.0,21081.0
2023-05-08,22549.0,21081.0
2023-05-15,21384.0,21081.0
2023-05-22,22301.0,21081.0
2023-05-29,24348.0,21081.0
2023-06-05,23749.0,21081.0
2023-06-12,18934.0,21081.0
2023-06-19,21437.0,21081.0
2023-06-26,16281.0,21081.0
2023-07-03,14804.0,21081.0
2023-07-10,14823.0,21081.0
2023-07-17,15435.0,21081.0
2023-07-24,14112.0,21081.0
2023-07-31,14107.0,21081.0
2023-08-07,17087.0,21081.0
2023-08-14,19421.0,21081.0
2023-08-21,17687.0,21081.0
2023-08-28,20190.0,21081.0
2023-09-04,19391.0,21081.0
2023-09-11,15942.0,21081.0
2023-09-18,13270.0,21081.0
2023-09-25,16331.0,21081.0
2023-10-02,20859.0,21081.0
2023-10-09,21451.0,21081.0
2023-10-16,21975.0,21081.0
2023-10-23,20335.0,21081.0
2023-10-30,19975.0,21081.0
2023-11-06,20734.0,21081.0
2023-11-13,21695.0,21081.0
2023-11-20,24042.0,21081.0
2023-11-27,21913.0,21081.0
2023-12-04,20774.0,21081.0
2023-12-11,20926.0,21081.0
2023-12-18,20597.0,21081.0
2023-12-25,21519.0,21081.0
2024-01-01,22390.0,21081.0
2024-01-08,21725.0,21081.0
2024-01-15,24170.0,21081.0
2024-01-22,22324.0,21081.0
2024-01-29,22350.0,21081.0
2024-02-05,21864.0,21081.0
2024-02-12,19479.0,21081.0
2024-02-19,22594.0,21081.0
2024-02-26,21105.0,21081.0
2024-03-04,22949.0,21081.0
2024-03-11,23291.0,21081.0
2024-03-18,20342.0,21081.0
2024-03-25,22976.0,21081.0
2024-04-01,21621.0,21081.0
2024-04-08,21389.0,21081.0
2024-04-15,22587.0,21081.0
2024-04-22,21603.0,21081.0
2024-04-29,23832.0,21081.0
2024-05-06,22717.0,21081.0
2024-05-13,22322.0,21081.0
2024-05-20,21924.0,21081.0
2024-05-27,23411.0,21081.0
2024-06-03,22545.0,21081.0
2024-06-10,23719.0,21081.0
2024-06-17,20836.0,21081.0
2024-06-24,18292.0,21081.0
2024-07-01,17974.0,21081.0
2024-07-08,17896.0,21081.0
2024-07-15,15994.0,21081.0
2024-07-22,13999.0,21081.0
2024-07-29,13907.0,21081.0
2024-08-05,14938.0,21081.0
2024-08-12,16741.0,21081.0
2024-08-19,17155.0,21081.0
2024-08-26,18058.0,21081.0
2024-09-02,18142.0,21081.0
2024-09-09,16927.0,21081.0
2024-09-16,19951.0,21081.0
2024-09-23,19847.0,21081.0
2024-09-30,21321.0,21081.0
2024-10-07,21638.0,21081.0
2024-10-14,22649.0,21081.0
2024-10-21,21091.0,21081.0
2024-10-28,23234.0,21081.0
2024-11-04,23595.0,21081.0
2024-11-11,23061.0,21081.0
2024-11-18,21438.0,21081.0
2024-11-25,21489.0,21081.0
2024-12-02,22479.0,21081.0
2024-12-09,21094.0,21081.0
2024-12-16,23021.0,21081.0
2024-12-23,22431.0,21081.0
2024-12-30,24246.0,21081.0
2025-01-06,23754.0,21081.0
2025-01-13,22794.0,21081.0
2025-01-20,22330.0,21081.0
2025-01-27,21756.0,21081.0
2025-02-03,21432.0,21081.0
2025-02-10,20569.0,21081.0
2025-02-17,21641.0,21081.0
2025-02-24,22349.0,21081.0
2025-03-03,19824.0,21081.0
2025-03-10,21927.0,21081.0
2025-03-17,21886.0,21081.0
2025-03-24,20541.0,21081.0
2025-03-31,20123.0,21081.0
2025-04-07,21984.0,21081.0
2025-04-14,23700.0,21081.0
2025-04-21,21951.0,21081.0
2025-04-28,21008.0,21081.0
2025-05-05,21790.0,21081.0
2025-05-12,21286.0,21081.0
2025-05-19,19822.0,21081.0
2025-05-26,21041.0,21081.0
2025-06-02,22570.0,21081.0
2025-06-09,21161.0,21081.0
2025-06-16,21049.0,21081.0
2025-06-23,18353.0,21081.0
2025-06-30,16427.0,21081.0
2025-07-07,12842.0,21081.0
2025-07-14,15921.0,21081.0
2025-07-21,14915.0,21081.0
2025-07-28,16357.0,21081.0
2025-08-04,19268.0,21081.0
2025-08-11,16827.0,21081.0
2025-08-18,15202.0,21081.0
2025-08-25,17065.0,21081.0
2025-09-01,18583.0,21081.0
2025-09-08,18203.0,21081.0
2025-09-15,18952.0,21081.0
2025-09-22,18084.0,21081.0
2025-09-29,16565.0,21081.0
2025-10-06,20520.0,21081.0
2025-10-13,22566.0,21081.0
2025-10-20,19999.0,21081.0
2025-10-27,21413.0,21081.0
2025-11-03,22768.0,21081.0
2025-11-10,21729.0,21081.0
2025-11-17,20747.0,21081.0
2025-11-24,20749.0,21081.0
2025-12-01,20670.0,21081.0
2025-12-08,20746.0,21081.0
2025-12-15,22068.0,21081.0
2025-12-22,22309.0,21081.0
