ds,yhat,yhat_lower,yhat_upper,actual,target,risk_score_pct,risk_level,is_anomaly
2023-01-02,20949.29063670126,19508.138963525995,22467.292115532673,21348.0,21500.0,73.0,High,False
2023-01-09,21075.273887416726,19739.597971781815,22496.62147341699,21009.0,21510.0,69.8,High,False
2023-01-16,21248.173612807645,19832.48773963386,22584.315315760257,21664.0,21519.0,62.7,High,False
2023-01-23,21374.91020159287,19946.56028887545,22842.010281578598,22379.0,21529.0,56.9,High,False
2023-01-30,21332.12315891279,19890.988075259716,22705.599451347676,21247.0,21539.0,59.6,High,False
2023-02-06,21183.729449477545,19673.05772723818,22602.61524671045,21339.0,21548.0,65.9,High,False
2023-02-13,21185.658338256642,19766.938499959575,22568.348412339623,22694.0,21558.0,66.9,High,True
2023-02-20,21504.568075708525,20040.618093506553,22834.28070940183,22204.0,21568.0,53.0,High,False
2023-02-27,21965.39949126768,20565.58102823517,23407.69456517728,21407.0,21577.0,32.7,Moderate,False
2023-03-06,22169.094431099264,20759.504372940268,23571.655544252146,22175.0,21587.0,24.8,Moderate,False
2023-03-13,21905.77501550961,20444.255151855632,23301.29946807304,21520.0,21597.0,36.1,Moderate,False
2023-03-20,21412.300177745285,19996.281245316597,22862.791205806152,21557.0,21606.0,58.8,High,False
2023-03-27,21158.6975309178,19748.888128235732,22606.93433242863,22080.0,21616.0,70.1,High,False
2023-04-03,21372.503727514584,19945.36750742906,22761.94812363241,20587.0,21626.0,61.6,High,False
2023-04-10,21813.71362492839,20287.675559716783,23215.652207470903,20722.0,21635.0,42.0,Moderate,False
2023-04-17,22041.790424414245,20650.806320030075,23434.150734970444,21528.0,21645.0,32.0,Moderate,False
2023-04-24,21872.711224729614,20394.746430725772,23361.98184681514,21194.0,21655.0,40.5,Moderate,False
2023-05-01,21531.421754569456,20185.979558270268,22878.352860653456,22093.0,21665.0,56.5,High,False
2023-05-08,21368.663880907985,20010.68628883016,22716.15849092827,21197.0,21674.0,64.5,High,False
2023-05-15,21486.244266628706,20082.58530447281,22819.031044398784,20794.0,21684.0,59.4,High,False
2023-05-22,21674.213571650886,20279.931584820773,23112.39826775422,22750.0,21694.0,50.9,High,False
2023-05-29,21677.45948024191,20282.2396935894,23117.28199635287,21500.0,21703.0,51.2,High,False
2023-06-05,21454.90649423417,20160.170590802052,22887.354659304805,21632.0,21713.0,62.2,High,False
2023-06-12,21169.300507392658,19727.907934490875,22500.084831476153,20509.0,21723.0,74.4,High,False
2023-06-19,20977.033149046667,19603.11018403681,22398.1556895475,21043.0,21732.0,81.3,Critical,False
2023-06-26,20888.72796819255,19466.200619315277,22352.47039166535,21416.0,21742.0,83.5,Critical,False
2023-07-03,20823.543059914446,19362.839685064875,22300.727027970766,20446.0,21752.0,85.1,Critical,False
2023-07-10,20731.027624208677,19259.00257001575,22098.006246805136,21428.0,21761.0,88.4,Critical,False
2023-07-17,20627.818286961996,19298.816107511117,21975.14278466202,20659.0,21771.0,92.0,Critical,False
2023-07-24,20542.46050809851,19102.213556187977,21879.08061257209,20793.0,21781.0,92.9,Critical,False
2023-07-31,20482.973837718087,18985.616834811342,21899.387203508555,16472.0,21790.0,93.0,Critical,True
2023-08-07,20462.773578753706,19041.577794513923,21828.607863114463,22142.0,21800.0,94.3,Critical,True
2023-08-14,20503.480703971847,19112.798988804883,22045.482657645116,20770.0,21810.0,92.9,Critical,False
2023-08-21,20583.470318070955,19094.376788770835,21954.353571172065,19980.0,21819.0,92.2,Critical,False
2023-08-28,20607.09789587921,19244.736870435558,22076.345768060986,21246.0,21829.0,92.2,Critical,False
2023-09-04,20490.155309878748,19132.895757347364,21958.035981806137,19776.0,21839.0,94.2,Critical,False
2023-09-11,20284.503320715034,18869.057134059098,21788.82883319719,20747.0,21848.0,96.1,Critical,False
2023-09-18,20173.424437577025,18751.462501750673,21625.32447502195,19210.0,21858.0,97.3,Critical,False
2023-09-25,20283.34036466686,18790.848253515374,21716.822384367188,19644.0,21868.0,96.3,Critical,False
2023-10-02,20514.02873012887,19026.463219283636,21844.75376680263,20715.0,21877.0,94.4,Critical,False
2023-10-09,20613.26055653164,19210.677863889523,22080.926966663064,21110.0,21887.0,92.8,Critical,False
2023-10-16,20448.041942855463,19097.302145854923,21838.456989782255,20740.0,21897.0,95.9,Critical,False
2023-10-23,20178.076182780027,18696.77251549862,21553.496101734836,20577.0,21906.0,97.7,Critical,False
2023-10-30,20104.722535021858,18655.440580535327,21540.602872758584,20497.0,21916.0,98.1,Critical,False
2023-11-06,20348.431100719237,18910.90378067123,21831.544024653107,19732.0,21926.0,96.2,Critical,False
2023-11-13,20716.97831764187,19317.71333704353,22137.445451488944,20333.0,21935.0,92.2,Critical,False
2023-11-20,20913.594238111044,19382.90387672423,22252.658593353397,20592.0,21945.0,88.1,Critical,False
2023-11-27,20852.180854756833,19450.154903502327,22226.36400787868,21740.0,21955.0,90.4,Critical,False
2023-12-04,20718.54371550329,19155.790065228943,22148.134110557832,21333.0,21965.0,91.5,Critical,False
2023-12-11,20734.79351817666,19379.492917557516,22116.208017250014,19956.0,21974.0,93.2,Critical,False
2023-12-18,20924.501420677814,19544.31745101924,22346.067350799654,21519.0,21984.0,89.3,Critical,False
2023-12-25,21141.372274706504,19730.54108367404,22569.88716768865,21128.0,21994.0,83.8,Critical,False
