model,cv_type,fold,n_train_pos,n_test_pos,roc_auc,avg_precision,recall_top20pct
rf,spatial,0,75,70,0.871978021978022,0.7913611244461173,0.5285714285714286
rf,spatial,1,76,68,0.8563567362428842,0.6799370691143137,0.45588235294117646
rf,spatial,2,75,70,0.8002915451895044,0.6452300109458812,0.42857142857142855
rf,spatial,3,78,68,0.8407158043940468,0.6710474344048484,0.4117647058823529
rf,random,0,207,69,0.9216833890746935,0.8006608546345626,0.5507246376811594
rf,random,1,207,69,0.9116499442586399,0.8067774869600047,0.5362318840579711
rf,random,2,207,69,0.9404496469713861,0.8682815175294079,0.5652173913043478
rf,random,3,207,69,0.9189892233370495,0.856887357572362,0.5507246376811594
xgb,spatial,0,75,70,0.9061355311355311,0.8280544834736349,0.5428571428571428
xgb,spatial,1,76,68,0.9091081593927894,0.7607321372979673,0.5147058823529411
xgb,spatial,2,75,70,0.8421768707482993,0.6790471866016572,0.4857142857142857
xgb,spatial,3,78,68,0.877214741318214,0.7055828057400975,0.45588235294117646
xgb,random,0,207,69,0.9554998141954664,0.8808986593776508,0.5797101449275363
xgb,random,1,207,69,0.9474173169825344,0.8725645515823771,0.6086956521739131
xgb,random,2,207,69,0.9609810479375697,0.9159549155754011,0.5942028985507246
xgb,random,3,207,69,0.955685618729097,0.9047009848506541,0.6231884057971014
