zone_id,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean
0,0.6002,0.0299,-9.6567,-16.3068,30.5748,919.1858
1,0.5674,0.0493,-9.92,-15.5717,30.9123,922.9931
2,0.5651,,-8.2671,-14.2078,31.4487,927.0065
3,0.5472,0.0184,-10.1088,-15.7831,31.2798,931.2029
4,0.6242,0.0169,-8.3427,-14.9123,31.0804,935.5579
5,0.5688,0.0569,-10.2083,-16.0325,30.5947,940.0462
6,0.5566,0.0375,-9.234,-15.1314,30.7294,944.6421
7,0.5573,0.0327,-8.261,-14.1915,31.543,949.3193
8,0.5895,0.0393,-8.2168,-14.5585,31.7052,954.0513
9,0.5789,0.0272,-9.3725,-14.7778,30.5794,958.8113
10,0.5761,0.0646,-8.5073,-13.4822,30.5257,963.5727
11,0.5715,,-8.5311,-15.0862,30.4645,968.3091
12,0.6342,0.0695,-9.2189,-14.8587,31.5372,972.9946
13,0.5261,0.0567,-8.2161,-15.6551,30.5105,977.6037
14,0.5154,0.0764,-7.1446,-12.8102,31.5831,982.1117
15,0.4966,0.0655,-8.1872,-15.1223,31.4391,986.4946
16,0.5471,0.0759,-8.0465,-14.3089,30.7979,990.7296
17,0.5609,0.0775,-7.9023,-14.5588,32.0702,994.7948
18,,0.0796,-9.5553,-15.6631,30.2546,998.6696
19,0.4692,0.0795,-7.9712,-13.5518,32.1205,1002.3347
20,0.4639,0.0756,-9.1123,-16.041,31.3015,1005.7722
21,0.5174,0.1044,-8.7374,-14.9172,29.844,1008.9655
22,0.516,0.0734,-6.5098,-12.7665,32.0136,1011.8999
23,0.5036,0.0871,-8.4232,-13.6326,31.6049,1014.562
24,0.4515,0.0898,-8.8013,-14.5854,30.7206,1016.9401
25,0.4844,0.0969,-7.2831,-13.8717,30.348,1019.024
26,0.4775,0.0891,-8.9666,-15.2023,29.9286,1020.8056
27,0.4802,0.1,-8.5769,-13.7988,32.2569,1022.2779
28,0.5057,,-7.237,-12.8799,30.1864,1023.4361
29,0.4801,0.0803,-8.2261,-14.6852,29.9112,1024.2767
30,0.4995,0.1006,-9.5399,-15.6734,30.7558,1024.7981
31,0.4771,0.0882,-7.8915,-14.0091,29.5361,1025.0
32,0.4889,0.0812,-8.6855,-14.9545,29.8526,1024.8839
33,0.5063,0.1039,-7.1829,-14.038,30.9613,1024.4528
34,0.4274,0.1082,-8.9505,-15.2894,30.567,1023.7111
35,0.4782,0.1084,-7.6792,-12.9846,29.9833,1022.6645
36,0.4782,0.1083,,-13.3481,30.1564,1021.3202
37,0.4781,0.0775,-9.3192,-15.3708,29.8151,1019.6866
38,0.4999,0.0833,-8.8553,-14.785,29.9847,1017.7732
39,0.5785,0.122,-8.4534,-13.3443,29.5134,1015.5908
40,0.4922,0.0842,-9.5144,-15.51,29.5793,1013.1511
41,0.574,0.1024,-8.6765,-14.1296,29.5275,1010.4667
42,0.4766,0.0849,-9.1363,-15.4354,29.4354,1007.5512
43,0.5394,0.0919,-9.2148,-15.3445,30.4855,1004.419
44,,0.0811,-9.0402,-15.0339,30.3218,1001.0851
45,0.5938,0.093,-9.0806,-15.4676,29.3138,997.5651
46,0.6073,0.0854,-9.0619,-15.1637,29.1836,993.8754
47,0.6189,,-9.7241,-15.2801,29.8468,990.0325
48,0.5811,0.066,-9.7375,-16.1377,31.2897,986.0537
49,0.5839,,-9.4324,-15.4324,29.4496,981.9564
50,0.6436,0.0587,-9.4131,-15.0588,30.0538,977.7581
51,0.6077,0.0758,-9.7635,-16.1757,30.3025,973.477
52,0.5697,0.0996,-9.1834,-14.6357,30.297,969.1308
53,0.58,0.0818,-10.9195,-16.883,30.2137,964.7378
54,0.5922,0.0718,-10.072,-16.1546,31.3213,960.316
55,0.6516,0.0599,-9.7264,-16.7305,31.0529,955.8834
56,0.6391,0.0356,-10.197,-16.3838,31.4511,951.4579
57,0.6616,0.041,-8.2133,-14.0275,31.4709,947.0573
58,0.6165,0.0705,-9.5013,-14.6286,31.8366,942.6991
