obs_id,lat,lon,label_class,evidence_type,source,mn_pct,notes
DEMO-M-001,21.648427584274927,80.13780043706797,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-002,21.684722793676624,80.00023426400115,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-003,22.03928801451563,80.24370431161074,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-004,21.825887366251525,80.39795029185419,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-005,21.740465635768555,80.03298490186162,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-006,21.986565531130033,80.40882285523567,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-007,21.712650744691466,79.92735981805106,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-008,21.624587892375576,80.11825864517499,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-009,21.72983032038215,80.08159301121702,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-010,21.746834878771914,79.98947778132887,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-011,21.657377114021344,80.19757877348322,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-012,21.732637502631007,80.03795665454227,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-013,21.947790600166194,80.46321078212016,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-014,22.02340744895146,80.43495775549941,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-015,21.652045270483345,80.08237894597488,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-016,21.770324522068705,80.46566402126595,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-017,21.81464629385381,80.01931076407992,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-018,21.87897872064077,80.42402137982732,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-019,21.819968274642168,79.95367890231216,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-020,21.786763160387554,80.00110222618939,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-021,22.040182279939064,80.41779939758553,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-022,21.987065725957052,80.32109093091798,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-023,21.607832347032538,80.16450049218327,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-024,21.79283972195026,79.92542435866868,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-025,21.64372718805082,80.13008868441128,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-026,21.659377507006432,80.12969980980976,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-027,22.00433144727219,80.31734132061604,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-028,22.00587811220614,80.35786265735129,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-029,22.03714441053536,80.26930279440691,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-M-030,21.819874829571752,79.96964558779045,mineralized,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-001,21.924288450089936,80.15500987475109,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-002,21.561827401731055,80.4091916105337,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-003,21.86894603132476,79.97213561361987,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-004,21.876521203160458,80.31986471190903,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-005,21.78524208689996,80.15770840052738,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-006,21.579361673797724,79.95274427794888,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-007,21.85659466850177,80.28373716655892,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-008,22.05733620060569,80.02147552826926,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
DEMO-B-009,21.85696397208183,80.02824635385582,barren,DEMO_SYNTHETIC (no real assay),DEMO_SYNTHETIC,,synthetic placeholder - not a real observation
