zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean,elevation_m,slope_deg
r00_c00,21.655,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3898,0.1262,-9.9344,-16.9606,30.7716,1472.758,286.3795,1.0372
r00_c01,21.655,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3945,0.1255,-9.7476,-16.9689,30.7686,1472.758,286.2716,1.0891
r00_c02,21.655,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3895,0.1266,-9.8331,-16.8475,30.7709,1472.7582,286.5996,1.1353
r00_c03,21.655,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3977,0.134,-9.7827,-16.916,30.7273,1472.7583,292.5243,1.1873
r00_c04,21.655,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3704,0.1288,-9.5769,-16.9771,30.7123,1472.758,299.1515,1.1511
r00_c05,21.655,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3735,0.1226,-10.0665,-17.1813,30.7798,1495.8411,294.4189,1.3887
r00_c06,21.655,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3712,0.1167,-10.0238,-17.1329,30.8766,1496.0214,291.2191,1.4071
r00_c07,21.655,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3889,0.1232,-9.8146,-16.8563,30.8583,1496.0215,296.5204,1.3137
r00_c08,21.655,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3888,0.1213,-9.8136,-16.9865,30.901,1496.0215,295.4282,1.517
r00_c09,21.655,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3696,0.1172,-9.812,-16.9908,31.0106,1496.0215,297.561,1.3707
r00_c10,21.655,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3423,0.0859,-10.6839,-18.0192,31.18,1509.9979,291.0735,1.7551
r00_c11,21.655,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3453,0.1205,-10.2557,-17.7079,31.1725,1510.5558,290.9569,1.7077
r00_c12,21.655,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3804,0.1294,-9.6256,-17.0779,30.9714,1510.5555,291.9433,1.2448
r00_c13,21.655,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3386,0.1051,-10.815,-18.6401,30.9597,1510.5555,285.129,1.7845
r00_c14,21.655,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.349,0.1267,-10.689,-18.4745,30.9499,1510.9869,283.8799,2.0896
r00_c15,21.655,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4015,0.1374,-9.6566,-16.9374,30.7354,1531.3432,290.8114,1.2122
r00_c16,21.655,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4317,0.1258,-9.5006,-16.5297,30.6039,1531.3435,289.4922,1.3405
r00_c17,21.655,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4131,0.1218,-9.3613,-16.2987,30.5783,1531.3442,287.9148,1.525
r00_c18,21.655,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3664,0.1161,-10.1051,-17.1163,30.578,1531.3442,286.6756,2.0881
r00_c19,21.655,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3965,0.1414,-9.7463,-16.9595,30.4966,1531.3442,290.8696,1.5096
r00_c20,21.655,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3905,0.1508,-10.0297,-17.5287,30.4698,1508.4375,292.4993,1.077
r00_c21,21.655,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3629,0.1381,-9.7569,-17.3238,30.591,1508.2172,291.4903,1.2223
r00_c22,21.655,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4151,0.1293,-9.378,-16.4048,30.4133,1508.2172,288.4519,1.4026
r00_c23,21.655,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3927,0.12,-9.8582,-17.0469,30.1399,1508.2172,286.7752,1.8598
r00_c24,21.655,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3805,0.145,-9.6735,-16.7397,29.9799,1508.2172,292.4389,1.1594
r00_c25,21.655,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3319,0.1367,-9.9604,-17.1792,30.12,1528.0714,294.0455,1.4706
r00_c26,21.655,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3175,0.1229,-10.2644,-17.7083,30.4504,1528.9019,297.0541,1.6609
r00_c27,21.655,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3149,0.1248,-10.6093,-18.0512,30.6485,1528.9026,299.0819,1.7137
r00_c28,21.655,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3205,0.1289,-10.1331,-17.6446,30.7162,1528.9021,300.0869,1.6295
r00_c29,21.655,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.314,0.1274,-10.7513,-18.3762,30.8061,1529.5912,301.2,1.651
r01_c00,21.665,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4055,0.1245,-9.7561,-17.0046,30.7664,1473.0376,289.6858,1.0376
r01_c01,21.665,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3652,0.1183,-9.9675,-17.1507,30.8388,1473.0376,287.9493,1.3024
r01_c02,21.665,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3732,0.1281,-9.8689,-17.0679,30.8662,1473.0376,291.1602,1.1008
r01_c03,21.665,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.388,0.1376,-9.8436,-16.9137,30.7426,1473.0376,292.5263,1.1745
r01_c04,21.665,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4214,0.1485,-9.9482,-17.0388,30.5629,1473.0376,294.691,1.1987
r01_c05,21.665,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4053,0.1318,-9.931,-16.9452,30.5508,1495.8044,299.9527,1.4896
r01_c06,21.665,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4003,0.128,-9.8005,-16.7049,30.6512,1495.9823,299.1862,1.6099
r01_c07,21.665,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4111,0.1314,-9.7099,-16.6674,30.6201,1495.9823,299.7927,1.3332
r01_c08,21.665,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3703,0.1181,-10.0243,-17.13,30.7564,1495.9823,301.5471,1.4705
r01_c09,21.665,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3954,0.1065,-10.0895,-17.1121,30.9774,1495.9823,295.0227,1.5932
r01_c10,21.665,80.155,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3842,0.1168,-9.9349,-17.0741,31.1525,1509.7419,289.7512,1.3876
r01_c11,21.665,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4091,0.1282,-9.3488,-16.5647,31.0315,1510.2911,292.5033,1.3729
r01_c12,21.665,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4325,0.1117,-9.4158,-16.4797,30.8343,1510.2911,289.1739,1.3732
r01_c13,21.665,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3523,0.1152,-11.4315,-18.7332,30.7281,1510.2911,283.3496,1.8734
r01_c14,21.665,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4282,0.1423,-9.7253,-16.8939,30.7951,1510.7073,283.0968,1.0206
r01_c15,21.665,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3392,0.1217,-10.1182,-17.6069,30.9087,1530.3452,291.3631,1.4136
r01_c16,21.665,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.414,0.1388,-9.5941,-16.7471,30.7988,1530.3452,291.1367,1.1013
r01_c17,21.665,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4241,0.1247,-9.4114,-16.4333,30.5086,1530.3452,291.282,1.3048
r01_c18,21.665,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3898,0.1227,-9.5723,-16.774,30.3791,1530.3452,290.7389,1.4819
r01_c19,21.665,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3733,0.1082,-9.8823,-17.1746,30.4987,1530.3452,286.7393,1.9892
