rank,zone_id,lat,lon,prospectivity_score,dist_to_reference_mine_km
1,2695,22.03099621827476,80.32919015859916,0.9352,29.3
2,2459,22.06696819979684,80.29025247707025,0.935,31.3
3,2812,22.00397253917203,80.3486928945821,0.9339,27.9
4,2993,22.013119420581464,80.377716377443,0.9304,30.5
5,3110,21.98608963423808,80.3972075347488,0.9271,29.7
6,2572,22.00381404984228,80.30994264266612,0.9261,25.7
7,2639,22.06709174864299,80.31932790749781,0.9231,32.4
8,2394,22.021756851729137,80.28078902862016,0.921,26.3
9,2153,22.01254842812347,80.24208256019999,0.9191,24.1
10,2688,21.9677585928716,80.32948750540531,0.9136,23.5
