zone_id,lat,lon,label_class,label,label_source,n_mineralized_obs,n_barren_obs,prospectivity_score
r00_c00,21.655,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.0007570181
r00_c01,21.655,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.0005474923
r00_c02,21.655,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.0006296163
r00_c03,21.655,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.004506754
r00_c04,21.655,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.009735088
r00_c05,21.655,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.025618538
r00_c06,21.655,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.0083636055
r00_c07,21.655,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.059458278
r00_c08,21.655,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.059936125
r00_c09,21.655,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.073380984
r00_c10,21.655,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.07819524
r00_c11,21.655,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.03231654
r00_c12,21.655,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.053270727
r00_c13,21.655,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.060621325
r00_c14,21.655,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.023853851
r00_c15,21.655,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.0040669246
r00_c16,21.655,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.002220674
r00_c17,21.655,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.006849572
r00_c18,21.655,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.010888694
r00_c19,21.655,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.0061865193
r00_c20,21.655,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.23199031
r00_c21,21.655,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.0042526177
r00_c22,21.655,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.006875721
r00_c23,21.655,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.023492672
r00_c24,21.655,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.026970832
r00_c25,21.655,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.08871852
r00_c26,21.655,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.13036957
r00_c27,21.655,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.06452465
r00_c28,21.655,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.06471137
r00_c29,21.655,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.056127597
r01_c00,21.665,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.0009187423
r01_c01,21.665,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.0017126641
r01_c02,21.665,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.00062371074
r01_c03,21.665,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.008444046
r01_c04,21.665,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.05603442
r01_c05,21.665,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.09780955
r01_c06,21.665,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.03247103
r01_c07,21.665,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.039151672
r01_c08,21.665,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.08314724
r01_c09,21.665,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.2226163
r01_c10,21.665,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.0333779
r01_c11,21.665,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.04118149
r01_c12,21.665,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.061112735
r01_c13,21.665,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.016281607
r01_c14,21.665,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.0039077345
r01_c15,21.665,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.0058799647
r01_c16,21.665,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.0018475342
r01_c17,21.665,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.0042247213
r01_c18,21.665,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.006238415
r01_c19,21.665,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.011388451
r01_c20,21.665,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.029139208
r01_c21,21.665,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.014147837
r01_c22,21.665,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.0046036905
r01_c23,21.665,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.0071913805
r01_c24,21.665,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.011170802
r01_c25,21.665,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.035280045
r01_c26,21.665,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.058232088
r01_c27,21.665,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.07390374
r01_c28,21.665,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.11098228
r01_c29,21.665,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.086104825
r02_c00,21.675,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.0021970302
r02_c01,21.675,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.01977621
r02_c02,21.675,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.0026817343
r02_c03,21.675,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.008114256
r02_c04,21.675,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.019592566
r02_c05,21.675,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.10896199
r02_c06,21.675,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.117090374
r02_c07,21.675,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.010126271
r02_c08,21.675,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.064384855
r02_c09,21.675,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.003753928
r02_c10,21.675,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.020516379
r02_c11,21.675,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.08602902
r02_c12,21.675,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.014201396
r02_c13,21.675,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.03887955
r02_c14,21.675,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.010214588
r02_c15,21.675,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.010462291
r02_c16,21.675,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.013439435
r02_c17,21.675,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.020167418
r02_c18,21.675,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.045432918
r02_c19,21.675,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.012188936
r02_c20,21.675,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.02570239
r02_c21,21.675,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.029512994
r02_c22,21.675,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.026643688
r02_c23,21.675,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.0067026885
r02_c24,21.675,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.010126181
r02_c25,21.675,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.01295311
r02_c26,21.675,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.07359555
r02_c27,21.675,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.19029246
r02_c28,21.675,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.11703941
r02_c29,21.675,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.065437675
r03_c00,21.685,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.014687905
r03_c01,21.685,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.013967125
r03_c02,21.685,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.033442546
r03_c03,21.685,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.010926984
r03_c04,21.685,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.024843022
r03_c05,21.685,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.08451175
r03_c06,21.685,80.115,barren,0.0,REAL_GEOLOGICAL,0,1,0.0496576
r03_c07,21.685,80.125,barren,0.0,REAL_GEOLOGICAL,0,1,0.0131098535
r03_c08,21.685,80.135,barren,0.0,REAL_GEOLOGICAL,0,1,0.013328608
r03_c09,21.685,80.145,barren,0.0,REAL_GEOLOGICAL,0,1,0.022296688
r03_c10,21.685,80.155,barren,0.0,REAL_GEOLOGICAL,0,1,0.08648729
r03_c11,21.685,80.165,barren,0.0,REAL_GEOLOGICAL,0,1,0.06572689
r03_c12,21.685,80.175,barren,0.0,REAL_GEOLOGICAL,0,1,0.0129659735
r03_c13,21.685,80.185,barren,0.0,REAL_GEOLOGICAL,0,1,0.10788965
r03_c14,21.685,80.195,barren,0.0,REAL_GEOLOGICAL,0,1,0.10855304
r03_c15,21.685,80.205,barren,0.0,REAL_GEOLOGICAL,0,1,0.009324079
r03_c16,21.685,80.215,barren,0.0,REAL_GEOLOGICAL,0,1,0.011124274
r03_c17,21.685,80.225,barren,0.0,REAL_GEOLOGICAL,0,1,0.012064659
r03_c18,21.685,80.235,barren,0.0,REAL_GEOLOGICAL,0,1,0.06567166
r03_c19,21.685,80.245,barren,0.0,REAL_GEOLOGICAL,0,1,0.037841465
r03_c20,21.685,80.255,barren,0.0,REAL_GEOLOGICAL,0,1,0.0057996693
r03_c21,21.685,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.08041524
r03_c22,21.685,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.021170944
r03_c23,21.685,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.039574333
r03_c24,21.685,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.008758688
r03_c25,21.685,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.0094738295
r03_c26,21.685,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.0071950178
r03_c27,21.685,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.003166432
r03_c28,21.685,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.01660729
r03_c29,21.685,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.099749565
r04_c00,21.695,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.05673709
r04_c01,21.695,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.026334591
r04_c02,21.695,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.031778555
r04_c03,21.695,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.03645503
